Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status
101131204;ru;38;Тонеры///Тонер-картриджи;0.00;753.6777599999999;0.00;1.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 1210/1230/1270/1510 (Hi-Black) C-EXV7, 5,3K, 300 г, туба; iR 1200/1210/1230/1270F/1300/1310/1330/,1370F/1510/1530/1570F/1610/1630/1630F;;;;;;;;;N;N;N;Toner-Canon-iR-1210123012701510-HiBlack-CEXV7-53K-300-g-tuba;;A
101131205;ru;39;Тонеры///Тонер-картриджи;0.00;704.9011200000001;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 1600/2000 (Hi-Black) C-EXV5, 7,5K, 440 г, туба; iR 1600/1610/1620/2000/2010/155/165/200/,255/2016, совместим с GPR-8;;;;;;;;;N;N;N;Toner-Canon-iR-16002000-HiBlack-CEXV5-75K-440-g-tuba;;A
101131206;ru;40;Тонеры///Тонер-картриджи;0.00;1539.61104;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 2230/2270/2870 (Hi-Black) C-EXV11, 19,5K, 1219 г, туба; iR 2230/2270/2830/2870/3025/3030/3225/,3230, совместим с GPR-15;;;;;;;;;N;N;N;Toner-Canon-iR-223022702870-HiBlack-CEXV11-195K-1219-g-tuba;;A
10113135;ru;41;Тонеры///Тонер-картриджи;0.00;785.9332800000001;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 1018/1020/1022/1024 (Hi-Black) C-EXV18, 8,4К, туба;Товары TOP80;;;;;;;;;N;N;N;Toner-Canon-iR-1018102010221024-HiBlack-CEXV18-84K-tuba;;A
101131350;ru;42;Тонеры///Тонер-картриджи;0.00;708.83472;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 1018/1020/1022/1024 (NetProduct) NEW C-EXV18, 8,4К, туба;;;;;;;;;;N;N;N;Toner-Canon-iR-1018102010221024-NetProduct-NEW-CEXV18-84K-tuba;;A
1011314;ru;43;Тонеры///Тонеры черные;0.00;6536.8564799999995;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011314.jpg;Тонер Canon iR 2200/2800/3300 (O) GPR-6, туба;ТПА для Москвы, для остальных ТПЗ совместим с C-EXV3;;;;;;;;;N;N;N;Toner-Canon-iR-220028003300-O-GPR6-tuba;;A
1011315;ru;44;Тонеры///Тонеры черные;0.00;2006.9227200000003;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011315.jpg;Тонер Canon iR 1210/1510/1570 (O) GPR-10, туба;ТПА для Москвы, для остальных ТПЗ совместим с C-EXV7;;;;;;;;;N;N;N;Toner-Canon-iR-121015101570-O-GPR10-tuba;;A
1011316;ru;45;Тонеры///Тонеры черные;0.00;4548.02832;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011316.jpg;Тонер Canon iR 2270 (O) GPR-15, туба;ТПА для Москвы, для остальных ТПЗ совместим с C-EXV11;;;;;;;;;N;N;N;Toner-Canon-iR-2270-O-GPR15-tuba;;A
108R00710;ru;46;Картриджи лазерные///Картриджи со скрепками;0.00;0.0;0.00;0.00;0;0.00;;N;;N;B;N;R;;;108R00710 Скрепки (3X5K) Xerox Phaser 7400/7700/7750 (O);Товары под заказ;;;;;;;;;N;N;N;108R00710-Skrepki-3X5K-Xerox-Phaser-740077007750-O;;D
1100001;ru;47;Картриджи струйные///Картриджи струйные совместимые;0.00;0.0;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Картридж Canon IPF-510/600/710 (Hi-Black), PFI-102BK, BK;Товары под заказ canon imagePROGRAFIpf720/605/610,130ml;;;;;;;;;N;N;N;Kartridzh-Canon-IPF510600710-HiBlack-PFI102BK-BK;;D
